,1. open,2. high,3. low,4. close,5. volume
2022-06-24 15:40:00,244.0000,244.3490,243.8830,244.2800,507924
2022-06-24 15:35:00,243.7830,244.0600,243.7500,243.9830,417054
2022-06-24 15:30:00,244.6000,244.6000,243.7770,243.8200,408402
2022-06-24 15:25:00,244.4150,244.5870,243.8500,244.5870,429861
2022-06-24 15:20:00,244.3730,244.5570,244.3330,244.4150,262734
2022-06-24 15:15:00,244.3530,244.4930,244.1270,244.4100,300774
2022-06-24 15:10:00,243.9470,244.3530,243.8200,244.3330,310926
2022-06-24 15:05:00,243.8870,244.1180,243.3770,243.9440,556764
2022-06-24 15:00:00,244.4930,244.5470,243.7970,243.8870,293691
2022-06-24 14:55:00,244.5480,244.6000,244.2200,244.4710,218760
2022-06-24 14:50:00,244.7000,244.7000,244.4200,244.5480,229887
2022-06-24 14:45:00,244.3330,244.7000,244.1770,244.6520,347967
2022-06-24 14:40:00,244.4600,244.7000,244.1270,244.2830,303117
2022-06-24 14:35:00,244.7270,244.8480,244.4630,244.4630,286248
2022-06-24 14:30:00,245.0630,245.2230,244.6100,244.7370,463218
2022-06-24 14:25:00,244.2900,245.2870,244.2000,245.0000,584790
2022-06-24 14:20:00,244.2670,244.5530,244.0530,244.2270,406698
2022-06-24 14:15:00,243.8000,244.3470,243.8000,244.2850,273231
2022-06-24 14:10:00,243.7750,244.1670,243.7200,243.8270,273462
2022-06-24 14:05:00,244.2400,244.3430,243.5780,243.7300,211749
2022-06-24 14:00:00,243.9170,244.4830,243.9170,244.2330,323418
2022-06-24 13:55:00,244.2050,244.3800,243.7870,243.8850,276939
2022-06-24 13:50:00,244.1680,244.6890,244.0200,244.2700,307365
2022-06-24 13:45:00,244.0200,244.2800,243.8200,244.1270,222180
2022-06-24 13:40:00,244.1970,244.2220,243.7670,244.0300,406272
2022-06-24 13:35:00,245.1270,245.1670,244.0200,244.2080,695166
2022-06-24 13:30:00,244.9450,245.2530,244.8330,245.1090,265350
2022-06-24 13:25:00,244.8570,245.1100,244.7070,244.9200,277503
2022-06-24 13:20:00,244.7400,245.4100,244.7000,244.8650,492894
